Seq,RAdeg,DEdeg,Fprob,Pany,Deep,D20,FFlux_bay,HFlux_bay,SFlux_bay,Source_Name_1,RA_1,DEC_1,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,S_Code,FLAG_DEEP,flag_clean,Z_BEST,Z_BEST_SOURCE,Z_SPEC,Z_SOURCE,Z_QUAL,Cat,SFR_cons,Radio_excess,RadioAGN_final
2302,218.2047945,34.0877321,1.1709E-204,0.997302,0,965012,3.369347106103476E-14,2.6640649044830035E-14,1.0196020150583194E-14,ILTJ143249.14+340515.6,218.2047360439975,34.08768115615584,2.2244012080325167E-4,5.231538252126725E-5,2.7565464201685864E-4,3.44105974086047E-5,M,1,1,1.0796,0.0,,,,Bootes,1.65,0.03,0
2311,218.8359873,34.0874796,0.0,0.958062,1,964660,4.574113970171991E-14,2.8165766385656723E-14,1.60985988393477E-14,ILTJ143520.57+340514.3,218.8357226510222,34.087312057996144,3.826403526229328E-4,6.103803397486636E-5,4.3523385902062057E-4,3.8350216220817195E-5,S,1,1,0.797,1.0,0.797,1,3,Bootes,1.51,0.11,0
2315,217.2796858,34.0933436,4.834E-94,0.996862,1,971371,3.2294428520885144E-14,2.2279628094370965E-14,1.0743270156425682E-14,ILTJ142907.14+340535.2,217.2797340119482,34.09312818595405,3.836134725833941E-4,7.309749924054494E-5,3.5313363367419726E-4,3.982301702759418E-5,S,1,1,0.616,1.0,0.616,1,3,Bootes,0.83,0.59,0
2323,217.4633486,34.0977663,1.8164E-18,0.829621,1,975690,1.138720348104038E-14,-8.968298597572642E-16,5.623539273620909E-15,ILTJ142951.08+340553.0,217.46283653225225,34.098073993129866,4.7587930396462936E-4,1.074606611934272E-4,3.667450594034504E-4,5.047155418407432E-5,S,1,1,1.809835,1.0,1.809835,2,4,Bootes,1.59,0.94,1
2329,219.4203057,34.0924423,1.0676E-17,0.996059,0,970540,2.216017887236171E-14,2.1726599940246856E-14,3.53169143409493E-15,ILTJ143740.82+340532.1,219.42007651389406,34.09225598480658,3.906144424407513E-4,1.0503399681688828E-4,3.7233237936145855E-4,4.950818635188625E-5,M,1,1,1.2275,0.0,,,,Bootes,2.08,-0.06,0
2338,218.1355305,34.1070665,1.1049E-133,0.998115,1,983181,2.9548582631652685E-14,9.266492790928243E-15,1.3786042781806516E-14,ILTJ143232.52+340625.2,218.13551354683636,34.1070147669521,0.0012872877569101886,6.852407589087844E-5,0.0011256039501512315,3.6080712611256584E-5,S,1,1,0.04235411,1.0,0.04235411,11,4,Bootes,-0.24,-0.26,0
2339,217.821023,34.1078944,0.0,0.99257,1,983766,1.3174180110369848E-13,6.967014795299499E-14,5.067079445490549E-14,ILTJ143117.00+340628.5,217.82084456772236,34.10793065114402,0.001181993093198188,5.837284680794834E-5,0.0012580809458689237,3.510917231684315E-5,S,1,1,0.693,1.0,0.693,1,3,Bootes,1.86,0.08,0
2345,218.7365239,34.1074874,3.4657E-4,0.992131,0,983563,1.5535345484222857E-15,-4.492880193908829E-16,9.020767106238616E-16,ILTJ143456.78+340627.5,218.73657419898763,34.10764861446728,0.0035978106704538026,8.920724868529199E-5,0.0027341431876440098,4.253621692875328E-5,S,1,1,0.0,1.0,0.0,1,3,Bootes,-99.0,-99.0,-1
2347,216.6053973,34.1081856,1.3816E-6,0.944902,1,983953,1.77804818270897E-15,1.921504144920822E-15,-1.1629072781299566E-16,ILTJ142625.21+340628.4,216.60505025006054,34.10790073946712,5.763250232028597E-4,1.067351921920915E-4,4.1343383836752373E-4,4.9047622239313934E-5,S,1,1,1.8987,0.0,,,,Bootes,2.1,0.52,0
2348,218.808393,34.108406,1.455E-8,0.8982,1,983862,1.8374277750452593E-15,-4.462951980545468E-16,6.687132639527754E-16,ILTJ143514.01+340629.0,218.80837292132964,34.10807884870258,1.957120104989036E-4,5.340266952117766E-5,2.4527610891589117E-4,3.53765075281357E-5,M,1,1,2.0303,0.0,,,,Bootes,2.28,-0.08,0
